edge_num	count	perc	prob_group
0	1423401	0.31821496597422805	00_01
1	2491345	0.556964105269747	00_01
2	473389	0.10583065807005464	00_01
3	84945	0.018990270685970295	00_01
0	20590	0.08858962223560796	01_02
1	151691	0.6526589794337837	01_02
2	46219	0.19885982273470443	01_02
3	13920	0.05989157559590397	01_02
0	7495	0.06853762024946047	02_03
1	70809	0.6475090530012071	02_03
2	22815	0.2086305278174037	02_03
3	8237	0.07532279893192875	02_03
0	3902	0.057744957305432644	03_04
1	43218	0.639574978171755	03_04
2	14354	0.21242212126145057	03_04
3	6099	0.09025794326136179	03_04
0	2268	0.04906754359395959	04_05
1	29080	0.6291376400848081	04_05
2	9979	0.21589286486954265	04_05
3	4895	0.10590195145168967	04_05
0	1580	0.04530855700848819	05_06
1	21569	0.618519155769672	05_06
2	7641	0.21911562284927735	05_06
3	4082	0.11705666437256251	05_06
0	1219	0.04341786579284798	06_07
1	16958	0.6040034192904972	06_07
2	6039	0.21509474284086053	06_07
3	3860	0.13748397207579427	06_07
0	860	0.0368877069571931	07_08
1	13697	0.5875010723170627	07_08
2	5029	0.21570730033456292	07_08
3	3728	0.15990392039118126	07_08
0	564	0.02836023532961231	08_09
1	10908	0.5484990194599487	08_09
2	4372	0.21984210790968975	08_09
3	4043	0.20329863730074924	08_09
0	438	0.025897238810382545	09_10
1	7622	0.45065925619346064	09_10
2	3378	0.19972801986637498	09_10
3	5475	0.3237154851297818	09_10
