group_1	group_2	n_1	n_2	median_1	median_2	statistic	p_value	rank_biserial	p_adjusted	feature	value_column
Shared	SGMCI-specific	105966	17096	0.252793136690054	0.24923638680325289	909153136.5	0.43624297284067914	0.0037047673337906595	0.43624297284067914	ATAC-seq	ATAC-seq_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.24923638680325289	0.1147144230205508	2698308383.5	0.0	0.187632014551546	0.0	ATAC-seq	ATAC-seq_mean
Shared	MATCHA-specific	105966	265794	0.252793136690054	0.1147144230205508	16777934114.0	0.0	0.19139772468394733	0.0	ATAC-seq	ATAC-seq_mean
Shared	SGMCI-specific	105966	17096	0.10829630219245044	0.10716067122886803	905495927.5	0.9442450204437518	-0.0003327902140691785	0.9442450204437518	H3K27ac	H3K27ac_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.10716067122886803	-0.021834978832231178	2556649408.0	1.6707866824143088e-166	0.12528230853530875	2.5061800236214632e-166	H3K27ac	H3K27ac_mean
Shared	MATCHA-specific	105966	265794	0.10829630219245044	-0.021834978832231178	15836282916.5	0.0	0.12453126266754899	0.0	H3K27ac	H3K27ac_mean
Shared	SGMCI-specific	105966	17096	0.14736895559971752	0.14397624306328116	908631736.0	0.5108040431161944	0.0031291413511813637	0.5108040431161944	H3K4me1	H3K4me1_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.14397624306328116	0.004349463473704092	2582354226.5	1.5233648177612106e-197	0.13659601365719665	2.285047226641816e-197	H3K4me1	H3K4me1_mean
Shared	MATCHA-specific	105966	265794	0.14736895559971752	0.004349463473704092	16039252625.5	0.0	0.13894410085366293	0.0	H3K4me1	H3K4me1_mean
Shared	SGMCI-specific	105966	17096	0.11642660362053969	0.11642660362053972	904482287.5	0.7602862497178344	-0.0014518484447616498	0.7602862497178344	H3K4me3	H3K4me3_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.11642660362053972	-0.012015937602873486	2572730141.5	1.3095662815038256e-185	0.1323600740119515	1.9643494222557386e-185	H3K4me3	H3K4me3_mean
Shared	MATCHA-specific	105966	265794	0.11642660362053969	-0.012015937602873486	15917195703.5	0.0	0.13027686338779487	0.0	H3K4me3	H3K4me3_mean
Shared	SGMCI-specific	105966	17096	0.12027503682903469	0.12223433980565106	908017951.5	0.6064159060354121	0.002451523462585259	0.6064159060354121	H3K27me3	H3K27me3_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.12223433980565106	0.0029368005175197665	2511407500.0	2.242834627331486e-118	0.10536955924810498	3.364251940997229e-118	H3K27me3	H3K27me3_mean
Shared	MATCHA-specific	105966	265794	0.12027503682903469	0.0029368005175197665	15592276958.0	0.0	0.10720444866345469	0.0	H3K27me3	H3K27me3_mean
Shared	SGMCI-specific	105966	17096	0.18593120285444872	0.1859312028544486	908258472.0	0.5680083978924471	0.00271705801644595	0.5680083978924471	CTCF	CTCF_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.1859312028544486	0.004119469478494962	2681824478.5	0.0	0.18037679738565893	0.0	CTCF	CTCF_mean
Shared	MATCHA-specific	105966	265794	0.18593120285444872	0.004119469478494962	16658157502.5	0.0	0.18289241160774572	0.0	CTCF	CTCF_mean
Shared	SGMCI-specific	105966	17096	0.16854999266106882	0.1652319669577305	909127471.5	0.4397597182472315	0.0036764331821286245	0.4397597182472315	SMC3	SMC3_mean
SGMCI-specific	MATCHA-specific	17096	265794	0.1652319669577305	-0.00856910714087968	2647210087.0	9.360802812489222e-288	0.1651416375495922	1.4041204218733834e-287	SMC3	SMC3_mean
Shared	MATCHA-specific	105966	265794	0.16854999266106882	-0.00856910714087968	16462630188.0	0.0	0.1690080563572096	0.0	SMC3	SMC3_mean
Shared	SGMCI-specific	105966	17096	0.22768845823892958	0.26480529658086266	901333435.5	0.3003608228489978	-0.004928180029774576	0.3003608228489978	gene_count	gene_count_total
SGMCI-specific	MATCHA-specific	17096	265794	0.26480529658086266	-0.16740232052510362	2590643003.5	3.968903437251576e-208	0.14024423155062737	5.953355155877364e-208	gene_count	gene_count_total
Shared	MATCHA-specific	105966	265794	0.22768845823892958	-0.16740232052510362	15981705812.5	0.0	0.13485771324448748	0.0	gene_count	gene_count_total
Shared	SGMCI-specific	105966	17096	-0.8478889311915458	-0.8478889311915458	903806425.0	0.5032732766403396	-0.0021980004251900276	0.5032732766403396	super_enhancer_overlap_bp	super_enhancer_overlap_bp_total
SGMCI-specific	MATCHA-specific	17096	265794	-0.8478889311915458	-0.8478889311915458	2242480365.0	6.41586954996716e-05	-0.012995886695974401	9.62380432495074e-05	super_enhancer_overlap_bp	super_enhancer_overlap_bp_total
Shared	MATCHA-specific	105966	265794	-0.8478889311915458	-0.8478889311915458	13867872093.5	1.011379616826741e-24	-0.015245193708482763	3.034138850480223e-24	super_enhancer_overlap_bp	super_enhancer_overlap_bp_total
