prediction_group	feature	N	mean	median	Q1	Q3	min	max
Shared	min_pairwise_distance_mb	105966	19.886699507389164	16.0	9.0	27.0	5.0	121.0
Shared	mean_pairwise_distance_mb	105966	72.48959729221352	70.66666666666667	46.666666666666664	93.33333333333333	6.666666666666667	165.33333333333334
Shared	max_pairwise_distance_mb	105966	108.73439593831984	106.0	70.0	140.0	10.0	248.0
Shared	total_span_mb	105966	108.73439593831984	106.0	70.0	140.0	10.0	248.0
Shared	min_anchor_spacing_mb	105966	19.886699507389164	16.0	9.0	27.0	5.0	121.0
Shared	mean_anchor_spacing_mb	105966	54.36719796915992	53.0	35.0	70.0	5.0	124.0
Shared	n_A_anchors	105966	0.8408546137440311	1.0	0.0	1.0	0.0	3.0
Shared	n_B_anchors	105966	1.5430892927920277	2.0	1.0	2.0	0.0	3.0
Shared	n_X_anchors	105966	0.6160560934639413	0.0	0.0	1.0	0.0	3.0
Shared	n_unique_compartments	105966	1.8833588132042354	2.0	2.0	2.0	1.0	3.0
Shared	n_unique_subcompartments	105966	2.206887114734915	2.0	2.0	3.0	1.0	3.0
SGMCI-specific	min_pairwise_distance_mb	265794	35.43380211742929	32.0	18.0	48.0	5.0	121.0
SGMCI-specific	mean_pairwise_distance_mb	265794	80.73442590878946	78.66666666666667	58.666666666666664	101.33333333333333	6.666666666666667	165.33333333333334
SGMCI-specific	max_pairwise_distance_mb	265794	121.10163886317976	118.0	88.0	152.0	10.0	248.0
SGMCI-specific	total_span_mb	265794	121.10163886317976	118.0	88.0	152.0	10.0	248.0
SGMCI-specific	min_anchor_spacing_mb	265794	35.43380211742929	32.0	18.0	48.0	5.0	121.0
SGMCI-specific	mean_anchor_spacing_mb	265794	60.55081943158988	59.0	44.0	76.0	5.0	124.0
SGMCI-specific	n_A_anchors	265794	0.8215610585641512	1.0	0.0	1.0	0.0	3.0
SGMCI-specific	n_B_anchors	265794	1.46197054862036	1.0	1.0	2.0	0.0	3.0
SGMCI-specific	n_X_anchors	265794	0.7164683928154887	1.0	0.0	1.0	0.0	3.0
SGMCI-specific	n_unique_compartments	265794	1.9946951398451431	2.0	2.0	2.0	1.0	3.0
SGMCI-specific	n_unique_subcompartments	265794	2.3637403402635124	2.0	2.0	3.0	1.0	3.0
MATCHA-specific	min_pairwise_distance_mb	17096	19.898748245203556	16.0	9.0	27.0	5.0	118.0
MATCHA-specific	mean_pairwise_distance_mb	17096	72.35606769614752	70.66666666666667	46.666666666666664	93.33333333333333	6.666666666666667	164.66666666666666
MATCHA-specific	max_pairwise_distance_mb	17096	108.53410154422087	106.0	70.0	140.0	10.0	247.0
MATCHA-specific	total_span_mb	17096	108.53410154422087	106.0	70.0	140.0	10.0	247.0
MATCHA-specific	min_anchor_spacing_mb	17096	19.898748245203556	16.0	9.0	27.0	5.0	118.0
MATCHA-specific	mean_anchor_spacing_mb	17096	54.26705077211044	53.0	35.0	70.0	5.0	123.5
MATCHA-specific	n_A_anchors	17096	0.8421268132896584	1.0	0.0	1.0	0.0	3.0
MATCHA-specific	n_B_anchors	17096	1.5356808610201216	2.0	1.0	2.0	0.0	3.0
MATCHA-specific	n_X_anchors	17096	0.62219232569022	0.0	0.0	1.0	0.0	3.0
MATCHA-specific	n_unique_compartments	17096	1.8863476836686945	2.0	2.0	2.0	1.0	3.0
MATCHA-specific	n_unique_subcompartments	17096	2.212973795039775	2.0	2.0	3.0	1.0	3.0
