value	test	group_1	group_2	statistic	p_value	kruskal_p_value	BH_FDR
min_pairwise_distance_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	3336011274.0	0.0	0.0	0.0
mean_pairwise_distance_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2623906639.5	2.1694185065128362e-253	2.1694149400472343e-253	2.1694185065128362e-253
max_pairwise_distance_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2623906639.5	2.1694185065128362e-253	2.1694149400472343e-253	2.1694185065128362e-253
total_span_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2623906639.5	2.1694185065128362e-253	2.1694149400472343e-253	2.1694185065128362e-253
min_anchor_spacing_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	3336011274.0	0.0	0.0	0.0
mean_anchor_spacing_mb	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2623906639.5	2.1694185065128362e-253	2.1694149400472343e-253	2.1694185065128362e-253
n_A_anchors	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2270339210.5	0.8619985982728657	0.8619985573919887	0.8619985982728657
n_B_anchors	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2167376990.5	1.700868990098199e-26	1.7008680599609473e-26	1.700868990098199e-26
n_unique_compartments	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2474083397.5	4.0609097369181416e-116	4.0609044546243953e-116	4.0609097369181416e-116
n_unique_subcompartments	Mann-Whitney U	SGMCI-specific	MATCHA-specific	2547101674.0	2.731251088687481e-193	2.7312467174030166e-193	2.731251088687481e-193
