Method	Metric	CI_lower	CI_upper
Complete Hi-C clique	AUPRC	0.5865687579956573	0.5884512714485471
Complete Hi-C clique	AUROC	0.5633551254746957	0.5653425692199279
Complete Hi-C clique	F1	0.22761732078443714	0.2339271745494506
Complete Hi-C clique	Precision	0.9847064978793195	0.9883401662333452
Complete Hi-C clique	Recall	0.1286764833939985	0.13270019505738517
SGMCI	AUPRC	0.8362735296097665	0.8403023672194012
SGMCI	AUROC	0.8403818703170494	0.8436957714360241
SGMCI	F1	0.765448114848103	0.7671790378728248
SGMCI	Precision	0.628104417906755	0.6302713219202585
SGMCI	Recall	0.9790748706874032	0.980624880266114
