bootstrap_id	Method	Metric	Value
0	SGMCI	AUROC	0.8420132130533367
0	SGMCI	AUPRC	0.837585734861863
0	SGMCI	Precision	0.6287066475199615
0	SGMCI	Recall	0.979806335881851
0	SGMCI	F1	0.7659381839098456
0	Complete Hi-C clique	AUROC	0.5649606377596358
0	Complete Hi-C clique	AUPRC	0.5880654043015385
0	Complete Hi-C clique	Precision	0.9865216825107436
0	Complete Hi-C clique	Recall	0.13193368048903673
0	Complete Hi-C clique	F1	0.2327414052659068
1	SGMCI	AUROC	0.8416694704023417
1	SGMCI	AUPRC	0.8374978016988366
1	SGMCI	Precision	0.6284928050727308
1	SGMCI	Recall	0.9804855535624096
1	SGMCI	F1	0.7659868295735939
1	Complete Hi-C clique	AUROC	0.5641304341675621
1	Complete Hi-C clique	AUPRC	0.5871922180675357
1	Complete Hi-C clique	Precision	0.9848843322818086
1	Complete Hi-C clique	Recall	0.13049687385708564
1	Complete Hi-C clique	F1	0.23045811739738878
2	SGMCI	AUROC	0.84105057416343
2	SGMCI	AUPRC	0.8360160691653761
2	SGMCI	Precision	0.6288159086082203
2	SGMCI	Recall	0.9797192566920357
2	SGMCI	F1	0.7659926470588235
2	Complete Hi-C clique	AUROC	0.5648324633416633
2	Complete Hi-C clique	AUPRC	0.5880300054024274
2	Complete Hi-C clique	Precision	0.987894254678707
2	Complete Hi-C clique	Recall	0.13146345286403455
2	Complete Hi-C clique	F1	0.23204734091607748
3	SGMCI	AUROC	0.841300649330713
3	SGMCI	AUPRC	0.8374711834727984
3	SGMCI	Precision	0.6283278717809871
3	SGMCI	Recall	0.9801024051272227
3	SGMCI	F1	0.7657474087403773
3	Complete Hi-C clique	AUROC	0.5645092564951893
3	Complete Hi-C clique	AUPRC	0.5877168653948481
3	Complete Hi-C clique	Precision	0.9877070733631343
3	Complete Hi-C clique	Recall	0.13083648269736498
3	Complete Hi-C clique	F1	0.23106497500961168
4	SGMCI	AUROC	0.8419036835985212
4	SGMCI	AUPRC	0.8384244659124712
4	SGMCI	Precision	0.6285069566625893
4	SGMCI	Recall	0.9798672913147216
4	SGMCI	F1	0.765808592088473
4	Complete Hi-C clique	AUROC	0.5643951299479155
4	Complete Hi-C clique	AUPRC	0.5875350947803191
4	Complete Hi-C clique	Precision	0.9864705109680809
4	Complete Hi-C clique	Recall	0.13079294310245737
4	Complete Hi-C clique	F1	0.23096321810800832
5	SGMCI	AUROC	0.8411787769835999
5	SGMCI	AUPRC	0.8371417896819143
5	SGMCI	Precision	0.6281716397084268
5	SGMCI	Recall	0.9800501576133336
5	SGMCI	F1	0.7656154338036216
5	Complete Hi-C clique	AUROC	0.5650371896813722
5	Complete Hi-C clique	AUPRC	0.5881571471508231
