chrom	max_dist_coloc_ratio	pearson_R	pearson_P	spearman_R	spearman_P
chr1	maxdist_50nm_colocalization_ratio	0.18410988718331775	2.354718480618042e-71	0.12757207753860705	6.994942520846377e-35
chr1	maxdist_100nm_colocalization_ratio	0.6144182070292455	0.0	0.4750461052347548	0.0
chr1	maxdist_150nm_colocalization_ratio	0.7244679258819514	0.0	0.5891984032572943	0.0
chr1	maxdist_200nm_colocalization_ratio	0.7134543181756406	0.0	0.6056434892629473	0.0
chr1	maxdist_250nm_colocalization_ratio	0.6789518666875207	0.0	0.6110009146699095	0.0
chr1	maxdist_300nm_colocalization_ratio	0.6318253773930073	0.0	0.6123114464050348	0.0
chr1	maxdist_350nm_colocalization_ratio	0.5783549854493815	0.0	0.6098722147374226	0.0
chr1	maxdist_400nm_colocalization_ratio	0.527093477061556	0.0	0.608082004582381	0.0
chr1	maxdist_450nm_colocalization_ratio	0.48014880439486035	0.0	0.6044116014865858	0.0
chr1	maxdist_500nm_colocalization_ratio	0.4415485332542652	0.0	0.6001700885806447	0.0
chr2	maxdist_50nm_colocalization_ratio	0.1060351434540032	7.948855652313848e-18	0.08851453237126465	7.331981875124828e-13
chr2	maxdist_100nm_colocalization_ratio	0.4241412775180764	4.2838299119053784e-284	0.37022892476063074	1.0049791928556375e-211
chr2	maxdist_150nm_colocalization_ratio	0.510733563617613	0.0	0.4563583553407004	0.0
chr2	maxdist_200nm_colocalization_ratio	0.5076868919529107	0.0	0.4675684882718757	0.0
chr2	maxdist_250nm_colocalization_ratio	0.4796633837301576	0.0	0.46814549491362156	0.0
chr2	maxdist_300nm_colocalization_ratio	0.44398790442949726	2.814257763e-314	0.46629346794714915	0.0
chr2	maxdist_350nm_colocalization_ratio	0.40860180035851085	7.73110182459062e-262	0.46171065630441604	0.0
chr2	maxdist_400nm_colocalization_ratio	0.3782871190675434	1.0677020104256624e-221	0.4576481515777667	0.0
chr2	maxdist_450nm_colocalization_ratio	0.35282548300894473	3.8807577630244854e-191	0.45303599920632176	0.0
chr2	maxdist_500nm_colocalization_ratio	0.3319690776990122	4.0026147315241323e-168	0.44123222820371333	5.7765690434334e-310
chr3	maxdist_50nm_colocalization_ratio	0.15348202612887593	1.0209369428897086e-39	0.09783975379940113	5.404849908078389e-17
chr3	maxdist_100nm_colocalization_ratio	0.5261945034959977	0.0	0.42420392945573876	0.0
chr3	maxdist_150nm_colocalization_ratio	0.6186678808880257	0.0	0.5290460365714366	0.0
chr3	maxdist_200nm_colocalization_ratio	0.6036727217331537	0.0	0.5420097703589859	0.0
chr3	maxdist_250nm_colocalization_ratio	0.560978766598405	0.0	0.5403840575518406	0.0
chr3	maxdist_300nm_colocalization_ratio	0.5120756748851308	0.0	0.5389455975008217	0.0
chr3	maxdist_350nm_colocalization_ratio	0.4658925951122292	0.0	0.5363985718584476	0.0
chr3	maxdist_400nm_colocalization_ratio	0.42861874709435044	1e-323	0.5340466555886167	0.0
