n1,n2,n3,max_dis,n1_bin,n2_bin,n3_bin,gm12878_prob,k562_prob,n1_gene,n2_gene,n3_gene,n1_gm12878_h3k4me1_peak_num,n2_gm12878_h3k4me1_peak_num,n3_gm12878_h3k4me1_peak_num,n1_k562_h3k4me1_peak_num,n2_k562_h3k4me1_peak_num,n3_k562_h3k4me1_peak_num,GM12878_loop_num,K562_loop_num,GM12878_fithic2_loop_num,K562_fithic2_loop_num
1654,1680,1722,68,chr3_48270000-48275000,chr3_48400000-48405000,chr3_48610000-48615000,0.8264086,0.09491877,,,UQCRC1,0,0,1,0,0,0,0,0,3.0,0.0
2426,2464,2494,68,chr3_112130000-112135000,chr3_112320000-112325000,chr3_112470000-112475000,0.690456,0.47856057,GCSAM,,,2,0,2,0,0,0,0,0,3.0,0.0
1264,1278,1303,39,chr6_6320000-6325000,chr6_6390000-6395000,chr6_6515000-6520000,0.527711,0.035552375,F13A1,,,2,4,2,0,0,0,0,0,3.0,0.0
1248,1428,1573,325,chr6_26240000-26245000,chr6_27140000-27145000,chr6_27865000-27870000,0.8174723,0.23453805,,,H1-5,1,1,2,0,0,0,0,0,3.0,0.0
2602,2624,2630,28,chr6_33010000-33015000,chr6_33120000-33125000,chr6_33150000-33155000,0.89270115,0.012651047,HLA-DOA,,,1,0,0,0,0,0,0,0,3.0,0.0
3101,3109,3156,55,chr6_35505000-35510000,chr6_35545000-35550000,chr6_35780000-35785000,0.98107237,0.39481664,,,CLPSL1,1,0,0,0,0,0,0,0,3.0,0.0
3141,3159,3172,31,chr7_35705000-35710000,chr7_35795000-35800000,chr7_35860000-35865000,0.92337143,0.028597003,,SEPTIN7,,1,0,0,0,0,0,0,0,3.0,0.0
915,992,1113,198,chr8_64575000-64580000,chr8_64960000-64965000,chr8_65565000-65570000,0.9027458,0.021458423,BHLHE22,,,4,0,0,0,0,0,0,0,3.0,0.0
2921,2933,2955,34,chr10_14605000-14610000,chr10_14665000-14670000,chr10_14775000-14780000,0.9842663,0.14893684,,,FAM107B,3,0,0,0,0,0,0,0,3.0,0.0
2855,2948,3019,164,chr10_74275000-74280000,chr10_74740000-74745000,chr10_75095000-75100000,0.7966214,0.2618468,,,SAMD8,0,1,0,0,0,0,0,0,3.0,0.0
3655,3671,3711,56,chr11_118275000-118280000,chr11_118355000-118360000,chr11_118555000-118560000,0.98521036,0.034802478,,UBE4A,,1,1,0,0,0,0,0,0,3.0,0.0
2027,2163,2181,154,chr13_50135000-50140000,chr13_50815000-50820000,chr13_50905000-50910000,0.93222445,0.20273519,,,RNASEH2B,0,0,1,0,0,0,0,0,3.0,0.0
815,827,933,118,chr14_104075000-104080000,chr14_104135000-104140000,chr14_104665000-104670000,0.96478945,0.07040813,,KIF26A,,0,0,1,0,0,0,0,0,3.0,0.0
72,180,196,124,chr17_360000-365000,chr17_900000-905000,chr17_980000-985000,0.87308687,0.43788218,,,NXN,0,0,1,0,0,0,0,0,3.0,0.0
3941,3947,3982,41,chr17_59705000-59710000,chr17_59735000-59740000,chr17_59910000-59915000,0.8701969,0.025499867,VMP1;PTRH2,,,2,0,0,0,0,0,0,0,3.0,0.0
563,568,621,58,chr17_82815000-82820000,chr17_82840000-82845000,chr17_83105000-83110000,0.69328064,0.40189728,,ZNF750,,0,1,0,0,0,0,0,0,3.0,0.0
621,674,684,63,chr18_63105000-63110000,chr18_63370000-63375000,chr18_63420000-63425000,0.98818505,0.094963886,,,VPS4B,3,0,0,0,0,0,0,0,3.0,0.0
518,542,597,79,chr18_62590000-62595000,chr18_62710000-62715000,chr18_62985000-62990000,0.9223298,0.016839126,,PHLPP1,,2,0,0,0,0,0,0,0,3.0,0.0
1235,1264,1377,142,chr19_6175000-6180000,chr19_6320000-6325000,chr19_6885000-6890000,0.9584954,0.03592208,,,ADGRE1,0,0,1,0,0,0,0,0,3.0,0.0
1321,1358,1370,49,chr19_6605000-6610000,chr19_6790000-6795000,chr19_6850000-6855000,0.89979064,0.013599896,CD70,,,3,0,0,0,0,0,0,0,3.0,0.0
2630,2642,2649,19,chr19_13150000-13155000,chr19_13210000-13215000,chr19_13245000-13250000,0.8719441,0.35246268,STX10,,,0,1,0,0,0,0,0,0,3.0,0.0
3527,3564,3570,43,chr19_17635000-17640000,chr19_17820000-17825000,chr19_17850000-17855000,0.7735361,0.027790703,,INSL3,,0,0,1,0,0,0,0,0,3.0,0.0
426,444,461,35,chr19_42130000-42135000,chr19_42220000-42225000,chr19_42305000-42310000,0.8340581,0.35933155,,DEDD2,,3,0,0,0,0,0,0,0,3.0,0.0
3830,3864,3902,72,chr22_39150000-39155000,chr22_39320000-39325000,chr22_39510000-39515000,0.9567807,0.20591506,CBX7,RPL3,,3,0,1,0,0,0,0,0,3.0,0.0
3864,3876,3902,38,chr22_39320000-39325000,chr22_39380000-39385000,chr22_39510000-39515000,0.98247993,0.33323202,RPL3,,,0,1,1,0,0,0,0,0,3.0,0.0
280,310,318,38,chr22_41400000-41405000,chr22_41550000-41555000,chr22_41590000-41595000,0.93769354,0.11803357,,,PMM1,1,0,0,0,0,0,0,0,3.0,0.0
527,557,618,91,chr22_42635000-42640000,chr22_42785000-42790000,chr22_43090000-43095000,0.8932002,0.014692668,,,TTLL1,0,1,0,0,0,0,0,0,3.0,0.0
