n1,n2,n3,max_dis,n1_bin,n2_bin,n3_bin,gm12878_prob,k562_prob,n1_gene,n2_gene,n3_gene,n1_gm12878_h3k4me1_peak_num,n2_gm12878_h3k4me1_peak_num,n3_gm12878_h3k4me1_peak_num,n1_k562_h3k4me1_peak_num,n2_k562_h3k4me1_peak_num,n3_k562_h3k4me1_peak_num,GM12878_loop_num,K562_loop_num,GM12878_fithic2_loop_num,K562_fithic2_loop_num
536,585,783,247,chr3_42680000-42685000,chr3_42925000-42930000,chr3_43915000-43920000,0.02429642,0.9372941,KLHL40,,,0,0,0,1,0,0,0,0,0.0,2.0
1045,1071,1117,72,chr3_45225000-45230000,chr3_45355000-45360000,chr3_45585000-45590000,0.26158172,0.97974384,TMEM158,,,0,0,0,2,0,0,0,0,0.0,2.0
1344,1375,1463,119,chr3_46720000-46725000,chr3_46875000-46880000,chr3_47315000-47320000,0.047531445,0.93351597,,PTH1R,,0,0,0,0,0,4,0,0,0.0,2.0
1405,1420,1456,51,chr3_47025000-47030000,chr3_47100000-47105000,chr3_47280000-47285000,0.01698449,0.69299334,,,KLHL18;KIF9,0,0,0,0,0,2,0,0,0.0,2.0
1332,1375,1463,131,chr3_46660000-46665000,chr3_46875000-46880000,chr3_47315000-47320000,0.33706793,0.98564005,,PTH1R,,0,0,0,0,0,4,0,0,0.0,2.0
1441,1489,1560,119,chr3_47205000-47210000,chr3_47445000-47450000,chr3_47800000-47805000,0.21163589,0.6362991,,,DHX30,0,0,0,0,0,2,0,0,0.0,2.0
1655,1701,1879,224,chr3_48275000-48280000,chr3_48505000-48510000,chr3_49395000-49400000,0.2148853,0.65409225,,SHISA5,,0,0,0,0,1,1,0,1,0.0,2.0
2083,2097,2164,81,chr3_170415000-170420000,chr3_170485000-170490000,chr3_170820000-170825000,0.21791929,0.7415863,CLDN11;RP11-654K19.6,,,0,0,0,0,0,1,0,0,0.0,2.0
448,493,523,75,chr4_2240000-2245000,chr4_2465000-2470000,chr4_2615000-2620000,0.0429742,0.93114406,POLN;HAUS3,,,0,0,0,3,1,1,0,0,0.0,2.0
448,454,477,29,chr4_2240000-2245000,chr4_2270000-2275000,chr4_2385000-2390000,0.018759508,0.90052325,POLN;HAUS3,,,0,0,0,3,2,2,0,0,0.0,2.0
3069,3130,3167,98,chr4_55345000-55350000,chr4_55650000-55655000,chr4_55835000-55840000,0.017772082,0.97582495,SRD5A3;RP11-177J6.2,,,0,0,0,1,2,0,0,0,0.0,2.0
240,266,397,157,chr5_1200000-1205000,chr5_1330000-1335000,chr5_1985000-1990000,0.0828581,0.5315655,SLC6A19,,,0,0,0,3,0,0,0,0,0.0,2.0
3201,3281,3322,121,chr5_176005000-176010000,chr5_176405000-176410000,chr5_176610000-176615000,0.4878812,0.89394724,,,GPRIN1,0,0,0,0,0,1,0,0,0.0,2.0
3657,3711,3718,61,chr5_178285000-178290000,chr5_178555000-178560000,chr5_178590000-178595000,0.28556055,0.52603525,,,COL23A1,0,0,0,0,2,0,0,0,0.0,2.0
1434,1503,1567,133,chr6_27170000-27175000,chr6_27515000-27520000,chr6_27835000-27840000,0.12148673,0.93693095,,,H2BC15;H2AC15,0,0,0,3,1,0,0,0,0.0,2.0
605,611,639,34,chr6_43025000-43030000,chr6_43055000-43060000,chr6_43195000-43200000,0.25160405,0.55478686,,RP1-20C7.7,,0,0,0,0,1,0,0,0,0.0,2.0
2014,2022,2082,68,chr6_150070000-150075000,chr6_150110000-150115000,chr6_150410000-150415000,0.013313215,0.68818676,ULBP3,,,0,0,0,1,0,0,0,0,0.0,2.0
43,142,255,212,chr6_160215000-160220000,chr6_160710000-160715000,chr6_161275000-161280000,0.20009664,0.7779439,,,AGPAT4,0,0,0,0,0,1,0,0,0.0,2.0
198,240,274,76,chr6_160990000-160995000,chr6_161200000-161205000,chr6_161370000-161375000,0.29040205,0.6955454,MAP3K4,,,0,0,0,2,1,1,0,0,0.0,2.0
2537,2603,2622,85,chr7_12685000-12690000,chr7_13015000-13020000,chr7_13110000-13115000,0.334864,0.94906896,ARL4A,,,0,0,0,2,0,1,0,0,0.0,2.0
2549,2589,2622,73,chr7_32745000-32750000,chr7_32945000-32950000,chr7_33110000-33115000,0.21263565,0.9834741,,,RP9,0,0,0,1,0,0,0,0,0.0,2.0
2810,2839,2873,63,chr7_74050000-74055000,chr7_74195000-74200000,chr7_74365000-74370000,0.15998666,0.9242127,,LAT2,,0,0,0,0,0,1,0,0,0.0,2.0
3931,3948,3965,34,chr7_99655000-99660000,chr7_99740000-99745000,chr7_99825000-99830000,0.06424153,0.5399598,,,CYP3A43,0,0,0,0,0,3,0,0,0.0,2.0
3900,3922,3975,75,chr7_99500000-99505000,chr7_99610000-99615000,chr7_99875000-99880000,0.28984103,0.92226297,ZKSCAN5,,OR2AE1,0,0,0,0,1,0,0,0,0.0,2.0
3809,3874,3879,70,chr7_99045000-99050000,chr7_99370000-99375000,chr7_99395000-99400000,0.068401195,0.9777003,,ARPC1B,,0,0,0,0,2,0,0,0,0.0,2.0
237,264,283,46,chr7_101185000-101190000,chr7_101320000-101325000,chr7_101415000-101420000,0.30688757,0.5232086,,IFT22,,0,0,0,1,0,0,0,0,0.0,2.0
1695,1727,1774,79,chr7_128475000-128480000,chr7_128635000-128640000,chr7_128870000-128875000,0.012732337,0.8448545,METTL2B,,,0,0,0,2,0,0,0,0,0.0,2.0
1739,1747,1770,31,chr7_128695000-128700000,chr7_128735000-128740000,chr7_128850000-128855000,0.4484984,0.9644304,,CALU,,0,0,0,0,3,0,0,0,0.0,2.0
3741,3748,3774,33,chr7_158705000-158710000,chr7_158740000-158745000,chr7_158870000-158875000,0.029254759,0.9890204,NCAPG2,,,0,0,0,1,1,0,0,0,0.0,3.0
3759,3771,3793,34,chr7_158795000-158800000,chr7_158855000-158860000,chr7_158965000-158970000,0.04376473,0.6032247,,DYNC2I1,,0,0,0,0,3,0,0,0,0.0,2.0
675,733,746,71,chr8_143375000-143380000,chr8_143665000-143670000,chr8_143730000-143735000,0.095449135,0.7007576,,,IQANK1,0,0,0,1,0,2,0,0,0.0,2.0
