chrom	max_dist_coloc_ratio	pearson_R	pearson_P	spearman_R	spearman_P
chr1	maxdist_50nm_colocalization_ratio				
chr1	maxdist_100nm_colocalization_ratio	0.09984513279834849	0.002325998124599522	0.08029882954700727	0.014412851810338669
chr1	maxdist_150nm_colocalization_ratio	0.27267609105027923	4.0439538456832445e-94	0.1848409368068196	2.3624703490095713e-43
chr1	maxdist_200nm_colocalization_ratio	0.27133675910512867	3.103198069753973e-131	0.18731636166344365	2.6204472127643304e-62
chr1	maxdist_250nm_colocalization_ratio	0.2509282593800439	4.452864568198891e-114	0.1856264229159727	2.2240693845458563e-62
chr1	maxdist_300nm_colocalization_ratio	0.22835231719190194	2.784103376606658e-94	0.183387427101729	6.670243508270106e-61
chr1	maxdist_350nm_colocalization_ratio	0.1988675092834297	1.6620438486384297e-71	0.17212321863125832	9.269222953177678e-54
chr1	maxdist_400nm_colocalization_ratio	0.16833880237787607	1.818826499630717e-51	0.15176800510417998	4.70102714437143e-42
chr1	maxdist_450nm_colocalization_ratio	0.14266613048309762	2.583709116224374e-37	0.1283066278736585	1.8987593836797135e-30
chr1	maxdist_500nm_colocalization_ratio	0.12172334221100355	1.5074814446495104e-27	0.10896837052510329	2.274900166148118e-22
chr5	maxdist_50nm_colocalization_ratio				
chr5	maxdist_100nm_colocalization_ratio	0.06171045393887464	0.039284915670587124	0.046377744626865364	0.12152142969906288
chr5	maxdist_150nm_colocalization_ratio	0.16149955826267479	4.966135650001349e-39	0.1451256552145502	9.079482682756816e-32
chr5	maxdist_200nm_colocalization_ratio	0.20630291293141267	1.33723610065173e-82	0.18776551431798752	1.7137678015090456e-68
chr5	maxdist_250nm_colocalization_ratio	0.20144773820559841	4.135546844786161e-79	0.18684696658486463	3.998314837920214e-68
chr5	maxdist_300nm_colocalization_ratio	0.1932870428465952	7.338967200834604e-73	0.18401729665804506	4.254120752745261e-66
chr5	maxdist_350nm_colocalization_ratio	0.18077338222379868	8.166470885984476e-64	0.17547799607764814	3.521892671369142e-60
chr5	maxdist_400nm_colocalization_ratio	0.16307881598665325	4.098653262219475e-52	0.15923411083943675	9.727735713006502e-50
chr5	maxdist_450nm_colocalization_ratio	0.13866572075978123	4.987427473755697e-38	0.1332881136623034	3.053450094563612e-35
chr5	maxdist_500nm_colocalization_ratio	0.11589874412379679	5.3418245550306336e-27	0.11025796491907641	1.4165720294822422e-24
chr6	maxdist_50nm_colocalization_ratio				
chr6	maxdist_100nm_colocalization_ratio	0.1446201078024536	1.708642455279694e-08	0.09813932959348055	0.00013572513599854313
chr6	maxdist_150nm_colocalization_ratio	0.17849060656542093	7.500985171827212e-55	0.12522646361661993	1.1738972148206634e-27
chr6	maxdist_200nm_colocalization_ratio	0.17693768717379155	5.075661533942378e-63	0.13841357696010773	5.045899325025867e-39
chr6	maxdist_250nm_colocalization_ratio	0.1620502449894837	2.850437387861474e-53	0.1383999507738045	3.378485605174514e-39
chr6	maxdist_300nm_colocalization_ratio	0.13841125687260705	3.330738712440771e-39	0.12875133194334545	4.124681786000389e-34
chr6	maxdist_350nm_colocalization_ratio	0.11400122870675422	4.659955915338308e-27	0.11233037398487236	2.5858603791411946e-26
chr6	maxdist_400nm_colocalization_ratio	0.09227205985615453	3.063671889271032e-18	0.09163934334818467	5.190632980214327e-18
chr6	maxdist_450nm_colocalization_ratio	0.07281037507453882	6.573234097127855e-12	0.0728169156730264	6.5448096719149104e-12
chr6	maxdist_500nm_colocalization_ratio	0.058746844098475706	3.063710779483558e-08	0.05969887134520179	1.826727454993418e-08
chr7	maxdist_50nm_colocalization_ratio				
chr7	maxdist_100nm_colocalization_ratio	0.21503600996422484	0.0006854416248432266	0.19321218970390486	0.002336788842819235
chr7	maxdist_150nm_colocalization_ratio	0.2927921018381838	7.043897759389136e-33	0.21822271404184207	1.2281919029377673e-18
chr7	maxdist_200nm_colocalization_ratio	0.3079309822290897	3.334053803670846e-72	0.23025729134956738	2.701157439307096e-40
chr7	maxdist_250nm_colocalization_ratio	0.3090933099071439	7.160932011400443e-84	0.24112295288893698	9.015152779165651e-51
chr7	maxdist_300nm_colocalization_ratio	0.2935601662756851	1.160594234986263e-76	0.24395006378049844	8.85658137272127e-53
chr7	maxdist_350nm_colocalization_ratio	0.26600475110305966	8.99574086816484e-63	0.2383282600907847	2.185524681001393e-50
chr7	maxdist_400nm_colocalization_ratio	0.23666797759387054	1.0819431422163736e-49	0.22654696764152632	1.421508138104093e-45
chr7	maxdist_450nm_colocalization_ratio	0.20476634530982013	2.2420985454051627e-37	0.20378236404072247	5.010552343122175e-37
chr7	maxdist_500nm_colocalization_ratio	0.1726429928236751	6.760564791551933e-27	0.17058908718778132	2.7301698055248293e-26
chr8	maxdist_50nm_colocalization_ratio				
chr8	maxdist_100nm_colocalization_ratio	-0.03650857040317347	0.4459773756485213	-0.053524909349436905	0.2636551221517711
chr8	maxdist_150nm_colocalization_ratio	0.0537018608653851	0.029605048644002704	0.05272382050437492	0.032707068489897184
chr8	maxdist_200nm_colocalization_ratio	0.08398264029513995	0.00013005422080230116	0.08642072280846035	8.221512061422482e-05
