candidate	Label	SGMCI_score	valid_HiC_candidate	n_supported_edges	supported_edge_fraction	complete_clique_score	anchor_1	anchor_2	anchor_3	edge_1_2_weight	edge_1_2_threshold	edge_1_2_supported	edge_1_3_weight	edge_1_3_threshold	edge_1_3_supported	edge_2_3_weight	edge_2_3_threshold	edge_2_3_supported	interaction_type
(122, 123, 144)	1	0.99869126	False	0	0.0	0	chr1:122000000-123000000	chr1:123000000-124000000	chr1:144000000-145000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1539, 1540, 1541)	1	0.9986078	False	0	0.0	0	chr8:144000000-145000000	chr8:145000000-146000000	chr9:0-1000000		0.007356441579759121	False	0.00045076292008161545	0.0012353004098129756	False		0.0012353004098129756	False	trans
(125, 144, 145)	1	0.9985266	False	0	0.0	0	chr1:125000000-126000000	chr1:144000000-145000000	chr1:145000000-146000000		0.007356441579759121	False	0.002472975756973028	0.007356441579759121	False		0.007356441579759121	False	cis
(144, 145, 340)	1	0.9985259	False	1	0.3333333333333333	0	chr1:144000000-145000000	chr1:145000000-146000000	chr2:91000000-92000000		0.007356441579759121	False		0.0012353004098129756	False	0.0014537896495312452	0.0012353004098129756	True	trans
(123, 124, 1440)	1	0.9985245	False	0	0.0	0	chr1:123000000-124000000	chr1:124000000-125000000	chr8:45000000-46000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(144, 145, 339)	1	0.9984995	False	0	0.0	0	chr1:144000000-145000000	chr1:145000000-146000000	chr2:90000000-91000000		0.007356441579759121	False		0.0012353004098129756	False		0.0012353004098129756	False	trans
(2689, 2693, 2694)	1	0.9984792	False	1	0.3333333333333333	0	chr19:24000000-25000000	chr19:28000000-29000000	chr19:29000000-30000000		0.007356441579759121	False		0.007356441579759121	False	0.11597256362438202	0.007356441579759121	True	cis
(1293, 1296, 1298)	1	0.99846554	False	0	0.0	0	chr7:58000000-59000000	chr7:61000000-62000000	chr7:63000000-64000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1292, 1296, 1298)	1	0.99846315	False	1	0.3333333333333333	0	chr7:57000000-58000000	chr7:61000000-62000000	chr7:63000000-64000000		0.007356441579759121	False	0.05106307193636894	0.007356441579759121	True		0.007356441579759121	False	cis
(1292, 1293, 1295)	1	0.9984602	False	0	0.0	0	chr7:57000000-58000000	chr7:58000000-59000000	chr7:60000000-61000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1293, 1295, 1298)	1	0.9984572	False	0	0.0	0	chr7:58000000-59000000	chr7:60000000-61000000	chr7:63000000-64000000		0.007356441579759121	False		0.007356441579759121	False		0.007356441579759121	False	cis
(1292, 1295, 1298)	1	0.9984565	False	1	0.3333333333333333	0	chr7:57000000-58000000	chr7:60000000-61000000	chr7:63000000-64000000		0.007356441579759121	False	0.05106307193636894	0.007356441579759121	True		0.007356441579759121	False	cis
